Group_1,Group_2,Metric,EER
Mid-Correct Spoof,Mid-Wrong Bonafide,voiced_unvoiced_ratio,0.2
Mid-Correct Spoof,Mid-Wrong Bonafide,rms_first_100ms,0.4
Mid-Correct Spoof,Mid-Wrong Bonafide,rmse_mean,0.4
Mid-Correct Spoof,Mid-Wrong Bonafide,rmse_amplitude,0.4
Mid-Correct Spoof,Mid-Wrong Spoof,duration_s,0.4
Mid-Correct Spoof,Mid-Wrong Spoof,speech_length_s,0.2
Mid-Correct Spoof,Mid-Wrong Spoof,leading_silence_s,0.6
Mid-Correct Spoof,Mid-Wrong Spoof,trailing_silence_s,0.6
Mid-Correct Spoof,Mid-Wrong Spoof,voiced_frames,0.2
Mid-Correct Spoof,Mid-Wrong Spoof,unvoiced_frames,0.2
Mid-Correct Spoof,Mid-Wrong Spoof,voiced_unvoiced_ratio,0.4
Mid-Correct Spoof,Mid-Wrong Spoof,rms_first_100ms,0.4
Mid-Correct Spoof,Mid-Wrong Spoof,rmse_mean,0.4
Mid-Correct Spoof,Mid-Wrong Spoof,rmse_amplitude,0.2
Mid-Correct Spoof,Worst-Scored Spoof,duration_s,0.19375
Mid-Correct Spoof,Worst-Scored Spoof,speech_length_s,0.371875
Mid-Correct Spoof,Worst-Scored Spoof,leading_silence_s,0.596875
Mid-Correct Spoof,Worst-Scored Spoof,trailing_silence_s,0.403125
Mid-Correct Spoof,Worst-Scored Spoof,voiced_frames,0.403125
Mid-Correct Spoof,Worst-Scored Spoof,unvoiced_frames,0.015625
Mid-Correct Spoof,Worst-Scored Spoof,voiced_unvoiced_ratio,0.19375
Mid-Correct Spoof,Worst-Scored Spoof,rms_first_100ms,0.403125
Mid-Correct Spoof,Worst-Scored Spoof,rmse_mean,0.403125
Mid-Correct Spoof,Worst-Scored Spoof,rmse_amplitude,0.240625
Mid-Wrong Bonafide,Mid-Wrong Spoof,duration_s,0.4
Mid-Wrong Bonafide,Mid-Wrong Spoof,speech_length_s,0.4
Mid-Wrong Bonafide,Mid-Wrong Spoof,leading_silence_s,0.8
Mid-Wrong Bonafide,Mid-Wrong Spoof,trailing_silence_s,0.6
Mid-Wrong Bonafide,Mid-Wrong Spoof,voiced_frames,0.4
Mid-Wrong Bonafide,Mid-Wrong Spoof,unvoiced_frames,0.4
Mid-Wrong Bonafide,Mid-Wrong Spoof,voiced_unvoiced_ratio,0.4
Mid-Wrong Bonafide,Mid-Wrong Spoof,rms_first_100ms,0.4
Mid-Wrong Bonafide,Mid-Wrong Spoof,rmse_mean,0.4
Mid-Wrong Bonafide,Mid-Wrong Spoof,rmse_amplitude,0.4
Mid-Wrong Bonafide,Worst-Scored Spoof,duration_s,0.19375
Mid-Wrong Bonafide,Worst-Scored Spoof,speech_length_s,0.19375
Mid-Wrong Bonafide,Worst-Scored Spoof,leading_silence_s,0.596875
Mid-Wrong Bonafide,Worst-Scored Spoof,trailing_silence_s,0.3875
Mid-Wrong Bonafide,Worst-Scored Spoof,voiced_frames,0.403125
Mid-Wrong Bonafide,Worst-Scored Spoof,unvoiced_frames,0.178125
Mid-Wrong Bonafide,Worst-Scored Spoof,voiced_unvoiced_ratio,0.240625
Mid-Wrong Bonafide,Worst-Scored Spoof,rms_first_100ms,0.371875
Mid-Wrong Bonafide,Worst-Scored Spoof,rmse_mean,0.403125
Mid-Wrong Bonafide,Worst-Scored Spoof,rmse_amplitude,0.403125
Mid-Wrong Spoof,Worst-Scored Spoof,duration_s,0.0
Mid-Wrong Spoof,Worst-Scored Spoof,speech_length_s,0.0
Mid-Wrong Spoof,Worst-Scored Spoof,leading_silence_s,0.596875
Mid-Wrong Spoof,Worst-Scored Spoof,trailing_silence_s,0.403125
Mid-Wrong Spoof,Worst-Scored Spoof,voiced_frames,0.209375
Mid-Wrong Spoof,Worst-Scored Spoof,unvoiced_frames,0.19375
Mid-Wrong Spoof,Worst-Scored Spoof,voiced_unvoiced_ratio,0.403125
Mid-Wrong Spoof,Worst-Scored Spoof,rms_first_100ms,0.403125
Mid-Wrong Spoof,Worst-Scored Spoof,rmse_mean,0.403125
Mid-Wrong Spoof,Worst-Scored Spoof,rmse_amplitude,0.434375
